label,text,predicted_category_bart,predicted_category_t5,predicted_category_gpt2,predicted_category_manual
4,"Fabulous! I cannot say how wonderful this little place was.\n\nTucked away in the heart of downtown Phoenix, the Squash Blossom is a little sleepy cafe that serves breakfast and lunch and as of October liquor as well. In the same corridor as the Irish Pub, Squash Blossom has the most simplistic decor and it's just right. Canopies outside shade diners from the AZ sun and for me, the rare AZ rain. \nI order the Turkey BLT with sweet potato fries. My intern ordered the Backyard Bacon Blue Burger with a veggie patty replacement. They were very cooperative with replacing the patty and each our plates came with the most delicious chocolate chip cookie that was oh so very soft and moist.\n\nThe waitress was very nice and attentive. The patio had a small troff of garden veggies outside so you know this place values sustainability. My co-worker ordered the spinach salad to go and when we brought it to her she inhaled it so I think the whole menu is good to go. I cannot wait to go back!",Restaurants,Restaurants,Restaurants,Restaurants
4,"I've never met a chile relleno I didn't like, and the one at Taqueria Canonita was especially creative and interesting.  The vegetarian entrees at most Mexican restaurants can be dull, but not here.  \n\nMy boyfriend and I ordered the chile relleno, served with roasted vegetables and jicama salad, and the wild mushroom enchiladas served with borracho beans and rice.  The chile relleno was stuffed with a mixture of dried fruit, almonds, and cheese, and the contrast between sweet and savory was a party in my mouth.  The salad was light and the orange dressing was a refreshing surprise.  The enchiladas were drenched with a velvety poblano sauce, and combined with the mushrooms, the enchiladas just slid down my throat.  The borracho beans were a smoky kidney beans with a hint of chili powder.  Oh, and don't skip the chips and fire roasted salsa; it's so good that you'll want to drink it straight from the bowl.\n\nFor dessert, we shared the Ancho Brownie, garnished with pepita ice cream.  This ancho infused brownie was ooey, gooey, and very fudgy. \n\nThe ambiance is nice for people watching, and the restaurant's location next to the canal gives the illusion that you are dining outside.  It can be a bit noisy, but all in all, I'd eat here again.",Restaurants,Restaurants,Restaurants,Restaurants
3,"Cute, quaint coffeehouse with delicious sandwiches, amazing yogurt concoctions.  Their sandwiches are stacked high and with the best cuts of meat and vegetables and what not.  They make different sandwiches and menu items daily. \n\nI happened upon this place after missing my bus stop one day, and oh boy, it's the best this side of town has to offer.  And the owner has been there every time I've stopped in and is so friendly and helpful.  It's rare to meet an owner who exceeds customer service expectations, but she does.  \n\nIf I lived on this side of town, and was independently wealthy, I'd go there every.single.day.\n\nIt's more business folks and affluent types here, so if you're looking for 20-somethings on their laptops, that's not really the type that frequents curbside.  \n\nOh, I've only had their chai lattes, so can't speak to how great the coffee is, but I will update this once I try the coffee.",Coffee Shops,Coffee Shops,Coffee Shops,Coffee Shops
2,Even though the place is almost empty there are still enough people to watch. I'm going to order the all you can eat pancakes. My wife ordered wings and a house salad. Apparently 7pm is the dinner hour for older Charlotteans. The front of the restaurant was almost full. Service was slow but there were only two servers Matt & Tiffany. Tracey was the night manager. We go there to hang out & kill a few hours so slow service doesn't matter really to us anymore. The thing I really hate is the way that the food is presented. It looks nothing like it does on the menu.,Entertainment,Restaurants,Restaurants,Restaurants
1,We ordered the Spinach Linguini (take out)... this dish was nothing but linguini and a few pieces of spinach and maybe 3 small pieces of chicken.  I'm appalled the cost ($13.95) of this dish considering it was only pasta.  The only reason this review gets two stars is because the flavor was decent.  This is our second time getting ripped off by Times Square! We were willing to give them a second try but regret it.  WE WILL NOT BE BACK!,Restaurants,Unknown,Restaurants,Restaurants
2,"I'm trying to decide -- when it comes to pizza, am I a crust person or a topping person? If I am the latter, then I would say that the toppings we tried on three different pizzas were all good but could have been more plentiful. We especially liked the artichoke and olive pizza. Whatever exotic cheeses the chefs put on the pizzas are terrific but are just dotted on. I left the restaurant last night feeling crusty, which is to say I love the wood-fired, slightly burned, soft-on-the-inside crust. So much so that I almost finished off the crust left on my carb-watching daughter's plate. We'll see where things fall in the great crust/topping dilemma next time I visit.",Restaurants,Restaurants,Restaurants,Restaurants
4,Not a bad place to go for a little shopping. I found good deals here. Good customer service.,Bars,Travel & Tourism,Unknown,Real Estate
1,"We don't seem to exist here.  The service was horrible.  Sat at the bar right in front of the bartender who was too busy cleaning glasses to acknowledge us.  I'm usually rather patient about these types of things, as I know they have other tasks to accomplish, however, it was NOT busy at all and it wasn't like she didn't see us.  She just gave us the impression that she would get around to taking our order when she felt like it...which was certainly not any time soon.  It was awkwardly rude and strange behavior.  If I weren't new to the area (and my guest from out of town) I would have thought she was an old enemy from days gone by.",Bars,Restaurants,Restaurants,Bars
3,"I came here for lunch, and for $20 it was well worth it. They had a pretty good selection of food, and everything I had was great. Near the back, you will drool as you watch the cooks grill tasty meats. There was also the standard king crab legs and shrimp, even for lunch. A few things that stood out for me were the pot pies and the custom-made crepes. I think I'll have to come back here during dinner for round 2.",Restaurants,Restaurants,Restaurants,Restaurants
3,"You must come hungry! There are so many choices, so best to do walk thru first to see what is on offer. Nothing worse than piling lots of food on your plate you won't eat, then getting another plate to try other dishes.\nMy husband doesn't eat meat, gluten, and dairy, so the chef took him for a tour to show him the vegan dishes. So nice this is offered! \nThe dessert is also abundant, do a walk thru with this too. My favorite was the gelato, around 5-6 different flavors. Loved the vanilla bean and coffee. \nI'd come back to this buffet. For all that is offered the price is reasonable. Add $15 for unlimited sparking wine, wine, and beer. I didn't choose it, but it's nice they have that option!",Restaurants,Restaurants,Restaurants,Restaurants
4,My new favorite pho spot! So glad I discovered this a few weeks ago. I may never drive to Spring Mountain for pho again!\n\nThe pho is top notch with a very flavorful delicious broth and a pretty generous serving. I tried the Bun Bo Hue for the very first time anywhere and now I'm hooked. I usually get the Crispy Imperial Rolls to start off then a nice steaming bowl of one of their savory soups along with a nice Thai ice tea to finish things off. \n\nThe staff is very nice and friendly and are always very attentive. The restaurant is small but cozy and I've never had to wait for a seat so I can straight to the food! I definitely will be a regular here!,Restaurants,Restaurants,Restaurants,Restaurants
0,"Basically, do NOT live here. Management says they have no record of break-ins, yet I was the one who told them about 2 specifically, one being my own place. Horrible management, horrible noise, horrible neighbors. Yeah, the apartments are nice, but who cares about granite countertops when you can't even sleep at night?!",Real Estate,Home Services,Home Services,Real Estate
2,"visited Settebello yesterday for a to-go lunch order.  I went with the \""settebello\"" pizza ($13.50) - sausage, pancetta, mushrooms and pine nuts.  After ordering, walked down to Rocket Fizz to pick-up a few \""artisan\"" sodas.  Returned just in time to pick up pizza and go my way.\n\nI felt the pizza was undercooked - very slight charring on the top of the pizza crust,  The mozzarella was not melted, a boatload of pine nuts, yet very light on mushroom..  Still, the flavors were there - especially liked the sausage and the pancetta.  I'm hoping this is simply a \"" working out the kinks\"" situation yet I wonder since at the time I entered the restaurant, I only saw 3 customers - what happens when there are 30 customers ???\n\nI'll return",Restaurants,Restaurants,Restaurants,Restaurants
4,"We just love this place so much! Had another delicious bbq meal yesterday. We seem to have our favorites now. He always gets a huge brisket sandwich and the green chili stew, and I always get the half sausage, new potatoes, and cream of corn. *drool* \n\nOh! We also just found out they give military discounts for active or retired!\n\nService - excellent, food - wonderful, atmosphere - fun! This has become one of our favorite places.",Restaurants,Restaurants,Restaurants,Restaurants
1,"Feast for the eyes, this old bank building is a cornucopia of mixed materials from glass to wood to concrete to steel to block to brick and astroturf. Dining a mixed bag, but you're sure to SEE something you like. [blink]\n\n--best seat in thehouse is the corner by the fire\n--bacchi (sp?) Ball court just like home vig location\n--hip urban feel which is difficult to find downtown.\n\n--great service, attentive and super friendly.\n--she even caught the bartender (it was hard to miss) shaking the shit out of my martini, stopped him and made him start over.\n\n--rib eye fatty, not trimmed, and in pieces. Horrible cut.\n--spinach puree very interesting, but doesn't work as presented. (Wants to surround the dish, not be shuffled off on the side)\n--so too go the potatoes. Gratin slightly burned and wants to be as elegant as the architectural lines of the building. Redesign this plate!\n--burger, although ordered medium, arrived charred but RAW!!\n--onion rings nothing to write home about.\n--banana bread pudding rich enough to serve 4. split it, or\n--hot fudge sundae. NICE!\n\nnot many places in town which are Hipster, Trendy, Romantic, Casual AND Classy. Nice hang out.",Entertainment,Restaurants,Restaurants,Restaurants
2,"Decent airport, large, clean and seems to have a lot of decent restaurant options. We loved Blanco in the A-gate area!\n\nI've been here 3 times now - first time was a quick run through, second was a disaster in which I almost missed my flight because of crowds and confusion about which terminal to be in and this time was relatively nice cuz of the great restaurant.. The subsequent hour plus flight delay doesn't appear to be the fault of the airport, but more the fault of US Air, which I am quickly developing a healthy hatred for.",Restaurants,Travel & Tourism,Travel & Tourism,Restaurants
0,"Papa John himself would be disappointed in the level of quality in the pizza's (3) that I received on 08/03/2013. I placed an order online from the 1010 E Desert Inn Rd. location for the special that they had for 3 medium/ 3 topping pizza's thinking that I will do something special for my wife, since she didn't eat anything at work. This was my first time I ever ate Papa John's. Everything was great when ordering and the delivery driver calling to let me know that she is 10 minutes away. When she arrive at our hotel at 7:20PM, I gave her a tip and accepted the pizza's without ever looking at them. As soon as I sat down with my wife in our hotel room, we looked at the pizza's and it looked like the pizza's were cold (cheese getting firm as if it were sitting out long). I called the Papa John's location and spoke with the manager around 7:30PM. He had offered to get new ones sent. I called back at 7:42PM asking the manager if we should give the old pizza's back to the driver that is coming to drop of the new pizza's, he then said that we didn't need to. So my wife and I were so hungry and waited for the pizza's to arrive. We had the opportunity to stare at the cold pizza's and realized how skimpy the toppings were and one of the pizza's looked burnt on the bottom. One pizza for example, had anchovies, chicken and onions. We couldn't even see the chicken and onions, so it looked like an anchovy pizza. I had time to take nice pictures of them. I called the Papa John's location again around 8:32PM. I was so upset that we haven't received the pizza's yet. They said that the driver went to the wrong address and should be there shortly and that the pizza's were piping hot out of the oven. I doubt that they were piping hot, especially arriving late. At 8:44PM, the driver called me and said that he was outside the hotel. I told him to send the pizza's back because it was late already, one hour and 14 minutes later from the time that I called at 7:30PM to get the replacement pizza's. I filled out a feedback form online at the Papa John's website the same night. It is already 08/07/13 and I still haven't received a call from who ever it may concern. I am sorry, but the way that Papa John talks about his business is different from what I experienced. The quality presented by his employee's do not match up to what his values are. I can't say that there were better ingredients if there were hardly any topping on the pizza's.",Restaurants,Restaurants,Restaurants,Hotels
3,I totally agree with these positive reviews- old school Vegas style that us locals sometimes forget. It warm and inviting. And live music-- ya just never know who you'll bump into. And just wanted to suggest the pizza for tasty takeout-- far better than one of the pizza chains! Still quick and much better variety of toppings that are fresh not canned. And they love garlic like I LOVE garlic!! Yum mm my!,Entertainment,Restaurants,Restaurants,Restaurants
4,"This place is very spacious and the price is very reasonable. I like this storage place, because it's nearby and has easy access whenever I need it.",Home Services,Home Services,Home Services,Real Estate
4,The best homemade Filipino food  since grandmas. The staff was so friendly it's been years since I've had that kind of food so they helped me order which was so helpful .,Home Services,Restaurants,Restaurants,Home Services
4,Lobster bisque was delicious\nLobster Salad was SUPERB\nCrab cakes were AWESOME\nSeabass was so buttery\nFilet was wonderful\nTuna tartar was fresh\nService was excellent\n\nTheres a private wine cellar room for private dining. Romantic and really cute spot.\n\nIm def returning for the food!,Restaurants,Restaurants,Restaurants,Restaurants
3,"Before you ask what I was smoking when I gave this Friday's 4 Stars, hear me out.\n\nI came in here for a late dinner during the week. Probably around 9PM.  It wasn't too crowded and we got to sit down right away.\n\nThe service was slow, I think they were probably spread thin. But our waiter was very friendly and other servers seem to help each other out.\n\nThe food was pretty tasty,(I may have been hungry), but never the less I thoroughly enjoyed my Jack Daniels Steak and Shrimp Dinner.\n\nIt did take a while for our food to come out which was surprising since there were not a lot of people in the restaurant, but I have no idea what the kitchen size/situation is for that place.",Restaurants,Restaurants,Restaurants,Restaurants
1,"the food is great, almost always. However, the customer service is horrid, and has been for the past two years. I lived in Chicago previously, and frequented the PF Changs there. The wait staff's attentiveness at that location, which is 100 times busier, was much better. For the price, PF Changs should hire some better wait staff. It has turned us off of one of our favorite restaurants.",Restaurants,Restaurants,Restaurants,Restaurants
3,"As you enter, the pungent odor of the BBQ smoke greets your nose. Most of the customers seem to be local regulars who come for takeout. A few simple booths and a small dining room, walk up ordering, not fancy in the least but great BBQ. We had the sample platter for 4 plus a rack of St. Louis Ribs, sides of hushpuppies fried okra and greens. The okra was our favorite. The ribs were great, as was the pulled pork. The chicken was good but not outstanding. Give it a try for a totally off the strip authentic experience.",Restaurants,Restaurants,Restaurants,Restaurants
1,Really good tacos.\nGeneric beer selection.\nHad a slow/rude/lazy Bartender.,Bars,Restaurants,Restaurants,Restaurants
1,"Arrving at Sky Harbor at 1AM was not the issue (it was empty), but my departure back home was almost a complete wreck.\n\nSo apparently this weekend, Nascar (among 1,000 other things) was in town.  I had a 12:40AM to ATL Monday morning.  Leaving Hohokam Park around 9PM (about 6-7 miles from SH), I didn't get to the f'n car rental center (a whole different story) until 10:30.  \n\nWho's genius idea was it to close the airport exit and re-direct traffic from a 4 lane to a one-lane bottleneck into the airport?  That could have been the dumbest, most inefficient thing I have seen since DC shut the interstate near RFK.  Traffic was unbelievable.  And I didn't realize it took another 15 minutes to get to the car rental \""center\"".\n\nAfter finally getting to the terminal, check in was slow, considering the amount of people they should have been expecting (they had red-eyes going to CHI, JFK, and ATL, amongst other places).  Getting to security was ridiculous- I would have rather gotten a handy from TSA then the circus they were running.  Apparently, waving my sunscreen in the air \""who's is this?\""  I should have told them it was my buttplug.   I told them, they said I could check it, but I couldn't let it go.  Cya, sunscreen.  \n\nAnother fascinating aspect was I had my cough syrup, hand sanitizer, and my lighter on me.  They could care less about the lighter.  The hand-gel - gone.  And my syrup, they made me take my stuff, and open it, they were testing it for God-only-knows. They didn't care about checking my ID to make sure the contents were mine though, just to make sure it wasn't on their list?  Is that not ass-backwards?\n\nFinally getting through, there wasn't shit open to eat or shop, a big no-no for people trying to get the hell home- I mean after taking 2 hours to go 6 miles that gets you hungry!\n\nThe actual airport itself was dated in some parts, but it was clean, its only saving grace.\n\nIMO, this place has a long ways to go to be a well oiled machine, which is a huge disappoinment being a gateway to the west.",Entertainment,Travel & Tourism,Travel & Tourism,Medical Services
0,It took 7 minutes to even greet us at the table. All the servers and hospos were up at the front looking at us while we were looking around for a server. To make matters worse during this 7 minutes the manager was check in with all the tables to see how everything was going and skipped our table completely.,Restaurants,Restaurants,Restaurants,Restaurants
4,"Great old fashioned breakfast, nothing fancy just good ol' stick to your ribs grub. Good people working there to... I'm a regular now for sure.",Bars,Restaurants,Restaurants,Restaurants
0,"I hate to say it but I agree with the other users.  The cupcakes we received from a groupon were very bland, small, and not up to par with grocery store cakes or cupcakes.",Entertainment,Unknown,Unknown,Restaurants
1,Slow disorganized service. Food is ok but nothing special. Our fries were soggy like they had sat under a heat lamp for hours. The tuna melt was dry and the eggs and sausage were dry and bland. Will not return.,Restaurants,Unknown,Unknown,Restaurants
